ID_PRODUTO,UNIDADE,NIVEL 1,NIVEL 2,NIVEL 3,NIVEL 4
20801,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20801,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20801,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20802,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20802,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20802,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20802,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20802,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20802,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20802,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20802,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20802,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20802,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20803,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20803,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20803,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20803,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20803,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20803,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20803,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20803,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20803,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20803,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20803,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20804,UN,INFANTIL,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
